id,date,name,rating,level,replay_num,useful_num,Useful,sentiment,objective,score,content
2113113,2015/5/11,解放路步行街,1,1,0,0,1,NEG,SUB,0,这个步行街真心没啥逛得，都是卖衣服的，牌子全国哪个城市都有的，没什么逛得。
2110109,2015/5/11,海月广场,2,1,0,0,1,NEG,SUB,0,椰梦长廊里面修的一个小广场，没什么特点。
2109767,2015/5/6,海口钟楼,2,1,0,0,1,NEG,SUB,0,虽然名气不小，但是没什么看头，逛了一下就走了
2107538,2015/5/1,三亚湾,2,1,1,1,1,NEG,SUB,0,三亚湾，外地候鸟大妈的天堂，三亚原居民心中的痛！
2113253,2015/4/24,小洞天,2,1,0,0,1,NEG,SUB,0,小洞天没意思，都看不出是个洞天
2116375,2015/4/24,天涯海角,2,1,0,0,1,NEG,SUB,0,路过而已，这玩意就是一个石头，没买票进去
2109861,2015/4/19,雷琼海口火山群世界地质公园,1,1,0,0,1,NEG,SUB,0,我被这个地方雷到了！
2115825,2015/4/11,定安,2,1,0,0,1,NEG,SUB,0,文笔峰越来越不好看了，空气不大好
1999861,2015/4/9,南锣鼓巷,1,1,0,0,1,NEG,SUB,0,挺失望的，就是个老房子的商业街。
1434305,2015/4/6,三塔倒影公园,2,1,0,0,1,NEG,SUB,0,太吓人了！
1434305,2015/4/6,三塔倒影公园,2,1,0,0,1,NEG,SUB,0,可是一整个公园也就这么一景，门票121元！
1443230,2015/4/5,长沙园林生态园,1,1,0,0,1,NEG,SUB,0,完蛋了，据说我们学校组织春游去这里
1365932,2015/4/4,圆明园,1,1,0,0,1,NEG,SUB,0,再也不来的地方，一点意思也没有，就是走啊走
1359989,2015/4/4,万古楼,1,1,0,0,1,NEG,SUB,0,不值得花50门票进去，外边的花2元5元上观景台是一样的
1748333,2015/4/3,鸟巢,1,1,0,0,1,NEG,SUB,0,政府无耻。
1748333,2015/4/3,鸟巢,1,1,0,0,1,NEG,SUB,0,请个洋鬼子，设计个垃圾，居然有脸要门票，无耻。
2114344,2015/4/3,呀诺达,1,1,0,0,1,NEG,SUB,0,门票离谱，地方政府短视。
2114344,2015/4/3,呀诺达,1,1,0,0,1,NEG,SUB,0,没什么意思，去还很麻烦，就是山和树，很无聊。
1674637,2015/4/3,中国马文化博物馆,1,1,0,0,1,NEG,SUB,0,几年前去过一次，要多无聊就有多无聊，什么都没有，一堆图片
1776942,2015/4/3,王府井小吃街,2,1,0,0,1,NEG,SUB,0,吃的都是一样的，还很贵，而且看上去也不新鲜…卖的东西基本上不会有人买…
1178071,2015/4/2,杨家界,2,1,0,0,1,NEG,SUB,0,呵呵，让我说什么好呢，除了累就是累了
1547474,2015/3/31,天龙源温泉,1,1,0,0,1,NEG,SUB,0,在北京市昌平区昌平镇邓庄西，不过据说两年前已经拆掉了，没有了，不要去了。
1978864,2015/3/31,西海子公园,2,1,0,0,1,NEG,SUB,0,说实话这就不是个景点，根本就是个社区公园，谁去谁失望，如果专业旅游去这一定失望
1970243,2015/3/30,福塔,1,1,0,1,1,NEG,SUB,0,你妈的砍娘
1970243,2015/3/30,福塔,1,1,0,1,1,NEG,SUB,0,尼玛坑子。
1178073,2015/3/30,杨家界,2,1,0,0,1,NEG,SUB,0,呵呵呵呵呵呵，真的是太累了，不想再去
1970243,2015/3/30,福塔,1,1,0,1,1,NEG,SUB,0,丢老子们楚雄人的脸，这是福塔吗？
1472078,2015/3/27,长江第一湾,2,1,0,0,1,NEG,SUB,0,长江第一个大湾，仅此而已，没什么看头
1507785,2015/3/27,新化狮子山公园,2,1,0,0,1,NEG,SUB,0,实在是没什么好玩的，小朋友一个人去还会感觉很好玩很大吧。。。
1462357,2015/3/27,金沙江第一湾,2,1,0,0,1,NEG,SUB,0,很一般很一般的景点，没必要下车看
1178115,2015/3/27,杨家界,2,1,0,0,1,NEG,SUB,0,呵呵，真心是感觉到累呀，哎..
1178117,2015/3/26,杨家界,2,1,0,0,1,NEG,SUB,0,一般，挺累的，不想在去呀，累……
1819058,2015/3/26,里格村,1,1,0,1,1,NEG,SUB,0,里格的一家酒店，店老板和这家租车的大哥都很坑爹。
1178116,2015/3/26,杨家界,2,1,0,0,1,NEG,SUB,0,累。。。真的是感觉累死个人，哎
1357912,2015/3/26,沈从文故居,2,1,0,0,1,NEG,SUB,0,变成这个样子，沈从文知道吗？？
1399100,2015/3/25,三里屯,1,1,0,0,1,NEG,SUB,0,酒吧不好玩，都没有美女，节目好单调
1178118,2015/3/25,杨家界,2,1,0,0,1,NEG,SUB,0,好一般，挺累的，下回不会再去了
1178120,2015/3/24,杨家界,2,1,0,0,1,NEG,SUB,0,爬山比较累，风景好一般…………
2110201,2015/3/24,天涯石,1,1,0,0,1,NEG,SUB,0,面对一块写了字的石头，我无言以对！
1809912,2015/3/23,玉龙雪山,1,1,0,0,1,NEG,SUB,0,凤景很美，导游的心太黑。
1686105,2015/3/21,天龙八部影视城,2,1,0,0,1,NEG,SUB,0,真的很一般很一般。
1809913,2015/3/20,玉龙雪山,1,1,0,0,1,NEG,SUB,0,导游像雪山一样冰冷可怕[
1178079,2015/3/19,杨家界,2,1,0,0,1,NEG,SUB,0,真的是太累了，来爬山来了，都没上到天波府，没什么特色
2111681,2015/3/19,生命井,1,1,0,1,1,NEG,SUB,0,普普通通一个井，在私人订制景点后边。
2113130,2015/3/19,解放路步行街,2,1,0,1,1,NEG,SUB,0,没啥好玩的，十分钟逛完。
2111634,2015/3/19,南海龙王别院,1,1,0,1,1,NEG,SUB,0,不大，挺小的，没什么好逛的，就是上香的地方。
1472774,2015/3/19,百度大厦,1,1,0,0,1,NEG,SUB,0,百度你能不能不那么臭美，一栋写字楼而已，竟敢称旅游景点？
1148882,2015/3/18,曼阁佛寺,1,1,0,0,1,NEG,SUB,0,什么破烂啊 千万别上当 啥都没有 几十米的空间
1178081,2015/3/18,杨家界,2,1,0,0,1,NEG,SUB,0,还好吧，真的是太累了，张家界太大了，一天走不完，三天会累死！精选路线一定要
1563863,2015/3/17,世界公园,1,1,0,0,1,NEG,SUB,0,傻逼公园 屌丝公园 一想全都是恶心的不行的烂建筑 太傻逼了
1178082,2015/3/17,杨家界,2,1,0,0,1,NEG,SUB,0,累累累累累……还行吧，索道频频出事，能不能有别的交通工具啊
2109771,2015/3/15,海口钟楼,1,1,0,1,1,NEG,SUB,0,钟楼很一般，上不去，对面是骑楼老街，后边是一条河，河水很浅，没有什么船只经过。
1670861,2015/3/15,岳阳文庙,2,1,0,0,1,NEG,SUB,0,去到的时候还没开门，里面也不大，一般般咯
1160882,2015/3/14,翠湖公园,1,1,0,0,1,NEG,SUB,0,游玩的人挺多，就是环境感觉不太好，，感觉有点脏兮兮的
1686169,2015/3/14,天龙八部影视城,1,1,0,0,1,NEG,SUB,0,没什么好去的，门票很贵，不值得去
1237389,2015/3/14,南屏步行街,1,1,0,1,1,NEG,SUB,0,卖的东西也是偏贵，人很多，个人觉得没什么可玩的
1522889,2015/3/14,金马碧鸡坊,1,1,0,0,1,NEG,SUB,0,就是一天商业街，没什么好玩的。
1160883,2015/3/14,翠湖公园,1,1,0,0,1,NEG,SUB,0,环境一点都不好，周围有许多树，但是有点脏兮兮的感觉
1237391,2015/3/14,南屏步行街,1,1,0,1,1,NEG,SUB,0,个人觉得没什么好玩的，人多，比较乱。
1838917,2015/3/14,滇池,1,1,0,0,1,NEG,SUB,0,滇池水严重受污染，环境一点都不好。
1838916,2015/3/14,滇池,1,1,0,0,1,NEG,SUB,0,滇池水可以近似于绿色，去过的人都知道，滇池是严重受污染的
1237387,2015/3/14,南屏步行街,1,1,0,1,1,NEG,SUB,0,不怎么样，人多，杂乱，还会有小孩死缠着你买花！
1278449,2015/3/14,昙华寺,1,1,0,0,1,NEG,SUB,0,不过里面那家的烧烤，老板态度恶劣。
1339075,2015/3/13,菩提寺,2,1,0,0,1,NEG,SUB,0,有点像汉族寺庙的寺，没什么太大意思
1178084,2015/3/13,杨家界,2,1,0,0,1,NEG,SUB,0,确实是很累，难道这儿不能也修个百龙天梯之类吗？
1690608,2015/3/13,明十三陵,1,1,0,0,1,NEG,SUB,0,没怎么开发的景点，只有一两个陵开放还什么都没有，也好意思叫十三陵
1178085,2015/3/13,杨家界,2,1,0,0,1,NEG,SUB,0,累累累累累……景色一般吧，到上面实在是走不动了，又不想坐索道，都没上到天波府
1800139,2015/3/13,天龙洞,1,1,0,0,1,NEG,SUB,0,感觉就是个坑…旅行团门商量好的吧…只有100块的团才回来，这哪里是上苍山…
1464299,2015/3/13,丽江,1,1,0,0,1,NEG,SUB,0,[吐]垃圾地方 不会再来第二次
1858122,2015/3/12,拉市海,2,1,0,0,1,NEG,SUB,0,总觉得去了就是找着被坑的 没什么景色就是去骑马了 价格还那么坑人
2119720,2015/3/12,亚龙湾,2,1,0,0,1,NEG,SUB,0,海水已经被污染，还被坑过不要去坐什么海底世界，不要潜水
2109387,2015/3/12,三亚免税店,2,1,0,0,1,NEG,SUB,0,东西都很贵，说便宜20%-30%要一线大品牌，还有导游给的卷基本没用
1178086,2015/3/12,杨家界,2,1,0,0,1,NEG,SUB,0,除了淘宝我真的想说，我第一次特别想差评！因为真的好累好累，没有什么特别的景观
1243684,2015/3/10,大研古城,2,1,0,0,1,NEG,SUB,0,下次不会再去大研古城，因为人太多，完全商业化！
1626023,2015/3/10,茶花公园,1,1,0,0,1,NEG,SUB,0,建议将此“景点”删掉，避免更多人浪费时间[生气]
1564909,2015/3/10,凤凰,2,1,0,0,1,NEG,SUB,0,古城气息已经微乎其微，商业网气息浓重，一杯豆浆一根油条八块。
1312610,2015/3/9,大理洋人街,1,1,0,0,1,NEG,SUB,0,健康都没了，钱也没有了！
1312610,2015/3/9,大理洋人街,1,1,0,0,1,NEG,SUB,0,都是地沟油哦，吃的恶心！
1890671,2015/3/6,万华岩,1,1,0,0,1,NEG,SUB,0,人造味道越来越浓，不喜欢.人多洞小，灯光过多感觉反而假了，失去了自然的味道。
1223098,2015/3/5,桃花源,1,1,0,0,1,NEG,SUB,0,普普通通的几座小山无聊极了
1745944,2015/3/4,圣莲山,2,1,3,3,1,NEG,SUB,0,为什么不写着 四月份以后 才开始营业 来回200公里 逗你玩 告诉不开门
1526028,2015/3/4,八宝,2,1,0,0,1,NEG,SUB,0,路过，没那么好，但文山有很多值得去的，这里我真不推荐
1709190,2015/3/3,云麓宫,2,1,0,0,1,NEG,SUB,0,登山时专门去了，到了感觉一般般。
1178088,2015/3/3,杨家界,2,1,0,0,1,NEG,SUB,0,不爬山等于没来，爬山累致死，还没什么可看的~~~呵呵呵~~~
1605269,2015/3/2,曼听公园,2,1,0,0,1,NEG,SUB,0,一天早上抽空去，整个在装修，什么都没有，据说可以从寺庙免费进的
1327512,2015/3/2,国色天香牡丹园,2,1,2,1,1,NEG,SUB,0,其它月份没有意思
1620192,2015/3/2,英达生态园温泉度假村,1,1,0,0,1,NEG,SUB,0,泡澡，住宿的地方，根本不是什么外地人应该去的景点。
1734878,2015/3/2,詹天佑铜像,1,1,0,0,1,NEG,SUB,0,没有必要去看。
1605269,2015/3/2,曼听公园,2,1,0,0,1,NEG,SUB,0,坑爹啊！
1459818,2015/3/2,玉峰寺,1,1,0,0,1,NEG,SUB,0,绝对不推荐！
1734878,2015/3/2,詹天佑铜像,1,1,0,0,1,NEG,SUB,0,就是一个铜像，没有看头。
1447821,2015/3/2,宣颐高尔夫练习场,1,1,0,0,1,NEG,SUB,0,就是一个高尔夫球场，不是著名的旅游景点
1459818,2015/3/2,玉峰寺,1,1,0,0,1,NEG,SUB,0,恶心的玉峰寺！
1459818,2015/3/2,玉峰寺,1,1,0,0,1,NEG,SUB,0,除了坑爹还是坑爹！
1358563,2015/3/2,掌扇胡同,1,1,0,0,1,NEG,SUB,0,北京无数胡同中的一条，没有什么特色，不用特意去这里。
2306356_1,2015/3/2,,1,0,0,0,1,NEG,SUB,0,住宿泡澡的地方，不是什么景点。
2536026_2,2015/3/2,,2,0,0,0,1,NEG,SUB,0,个人不推荐，很一般。
